"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,6.14593739545446,0.881,0.037,0,"PODO","Ptpro"
0,5.84706961008883,0.868,0.028,0,"PODO","Nphs1"
0,6.36255989621961,0.871,0.039,0,"PODO","Wt1"
0,0.811671059810671,0.872,0.057,0,"PODO","Nebl"
0,0.55013020890533,0.871,0.07,0,"PODO","Arhgap28"
0,4.21308107012977,0.864,0.064,0,"PODO","Plce1"
0,5.77908738063095,0.833,0.034,0,"PODO","Sema3e"
0,8.30555394689245,0.825,0.026,0,"PODO","Myom2"
0,4.74490416596491,0.882,0.085,0,"PODO","Srgap1"
0,1.32764267725717,0.859,0.063,0,"PODO","Ildr2"
0,1.94122454515378,0.877,0.095,0,"PODO","Dpp4"
0,4.36841453385551,0.828,0.047,0,"PODO","Nphs2"
0,4.60532763380011,0.861,0.083,0,"PODO","Zbtb7c"
0,3.79780202594447,0.879,0.102,0,"PODO","Thsd7a"
0,4.48368911112608,0.884,0.116,0,"PODO","Podxl"
0,3.51751282063849,0.817,0.05,0,"PODO","Tmem150c"
0,3.18895109612208,0.828,0.063,0,"PODO","Synpo"
0,0.668990530359451,0.859,0.097,0,"PODO","Plekhg1"
0,1.58828166381362,0.84,0.086,0,"PODO","Vegfa"
0,3.4629019495871,0.866,0.118,0,"PODO","Tmod3"
0,3.60311246427014,0.777,0.035,0,"PODO","Gabrb1"
0,1.96041689646781,0.853,0.114,0,"PODO","Clic5"
0,2.38117958715161,0.837,0.106,0,"PODO","St3gal6"
0,1.40640700091938,0.876,0.147,0,"PODO","Mertk"
0,0.262585836687228,0.859,0.13,0,"PODO","Sema5a"
0,0.60879614848567,0.863,0.142,0,"PODO","Auts2"
0,3.11903114249484,0.81,0.09,0,"PODO","Atp8b1"
0,1.35814065814972,0.785,0.068,0,"PODO","Enpep"
0,4.27881552922262,0.777,0.065,0,"PODO","Galnt10"
0,2.18985038706939,0.784,0.084,0,"PODO","Unc5c"
0,2.64350291730227,0.872,0.177,0,"PODO","Dock4"
0,4.40304431466381,0.734,0.039,0,"PODO","Wipf3"
0,1.76505985736988,0.755,0.075,0,"PODO","Plod2"
0,0.830392213100661,0.793,0.122,0,"PODO","Alcam"
0,3.39476474871524,0.789,0.12,0,"PODO","Tmtc1"
0,4.47353526241093,0.752,0.094,0,"PODO","Fyn"
0,2.47212509849061,0.703,0.061,0,"PODO","Plekhh2"
0,0.790899793695367,0.698,0.056,0,"PODO","Colec12"
0,2.51690748424318,0.716,0.077,0,"PODO","St6gal1"
0,4.19073463557293,0.678,0.055,0,"PODO","Astn2"
0,2.42578904277333,0.726,0.106,0,"PODO","Gulp1"
0,2.50466876884312,0.75,0.142,0,"PODO","Fry"
0,4.33955267595432,0.623,0.021,0,"PODO","Adcy1"
0,5.86513703990048,0.641,0.039,0,"PODO","Sema3g"
0,4.96374336927207,0.656,0.069,0,"PODO","St3gal1"
0,2.8127987299777,0.645,0.065,0,"PODO","Myzap"
0,0.558696654532469,0.693,0.117,0,"PODO","Pcsk5"
0,1.66987979237733,0.714,0.15,0,"PODO","Tpm1"
0,2.25450960198118,0.594,0.032,0,"PODO","Plagl1"
0,2.00039338559828,0.701,0.142,0,"PODO","Grk5"
0,3.36656643160404,0.63,0.072,0,"PODO","Gsn"
0,4.76122370248936,0.581,0.025,0,"PODO","Pcsk6"
0,1.84771818615816,0.693,0.147,0,"PODO","Dlc1"
0,3.85835711298243,0.601,0.056,0,"PODO","Flrt2"
0,7.70866929924787,0.566,0.024,0,"PODO","Gabra4"
0,3.28077776345375,0.628,0.088,0,"PODO","1700025G04Rik"
0,2.50445247418815,0.647,0.11,0,"PODO","Prkd1"
0,1.64893623782531,0.675,0.142,0,"PODO","Samd12"
0,5.36324797213133,0.558,0.029,0,"PODO","Il6ra"
0,4.77897992359695,0.575,0.047,0,"PODO","Epha6"
0,4.39140146743264,0.589,0.068,0,"PODO","Arhgef26"
0,4.2986850515932,0.57,0.051,0,"PODO","Colgalt2"
0,5.74832935030857,0.529,0.026,0,"PODO","Usp13"
0,7.20637745937774,0.523,0.023,0,"PODO","Chst1"
0,0.922708830784928,0.541,0.043,0,"PODO","Pknox2"
0,3.15818276838223,0.525,0.042,0,"PODO","Lrrc49"
0,0.480966955540873,0.641,0.16,0,"PODO","Ahnak"
0,0.618519243339262,0.555,0.093,0,"PODO","Msrb3"
0,4.24441600178618,0.486,0.024,0,"PODO","H2-Q7"
0,3.71630484479739,0.502,0.042,0,"PODO","Mrc2"
0,6.18509504545355,0.474,0.017,0,"PODO","Foxd1"
0,3.89683902992214,0.485,0.038,0,"PODO","Inf2"
0,2.9126298212337,0.508,0.066,0,"PODO","Gas7"
0,3.63540581113982,0.499,0.058,0,"PODO","Vim"
0,0.816387872674571,0.561,0.121,0,"PODO","Sparc"
0,2.00927955436559,0.519,0.083,0,"PODO","Scd2"
0,1.83585891645452,0.483,0.053,0,"PODO","Frmd6"
0,0.45693282789195,0.462,0.036,0,"PODO","Xkr4"
0,0.808416431073459,0.559,0.143,0,"PODO","Cd81"
0,0.542634896448828,0.569,0.153,0,"PODO","Prkca"
0,1.51659093632788,0.461,0.053,0,"PODO","Egf"
0,3.0414941128627,0.43,0.028,0,"PODO","Pdpn"
0,4.16695426568559,0.449,0.052,0,"PODO","Elf4"
0,0.972281440880337,0.486,0.092,0,"PODO","Anxa3"
0,5.12240751315023,0.417,0.024,0,"PODO","Speg"
0,2.94292955903208,0.408,0.015,0,"PODO","Asb15"
0,3.37261843564182,0.462,0.072,0,"PODO","Rcsd1"
0,3.57146388634854,0.412,0.033,0,"PODO","Fam78b"
0,0.500148816035028,0.532,0.158,0,"PODO","Plcb4"
0,1.85053004857484,0.434,0.079,0,"PODO","Timp2"
0,1.41715358693402,0.384,0.032,0,"PODO","Samd5"
0,1.04150367600663,0.372,0.024,0,"PODO","Cmtm7"
0,3.43792385487785,0.388,0.042,0,"PODO","Axl"
0,3.44295831798434,0.38,0.034,0,"PODO","Plekho1"
0,1.6990337969553,0.397,0.052,0,"PODO","Med12l"
0,0.300694736336413,0.376,0.032,0,"PODO","Vtcn1"
0,4.57157094553898,0.372,0.033,0,"PODO","Dock11"
0,2.80945913065545,0.381,0.048,0,"PODO","Marveld1"
0,2.03797734774418,0.367,0.038,0,"PODO","Itga2"
0,2.89473719461772,0.36,0.034,0,"PODO","Foxc1"
0,2.79644519373642,0.372,0.05,0,"PODO","Ust"
0,4.73034856860584,0.332,0.011,0,"PODO","C1qtnf1"
0,3.44285766025374,0.396,0.078,0,"PODO","Eml1"
0,2.43879436507848,0.372,0.055,0,"PODO","Lpl"
0,2.21165964077366,0.36,0.044,0,"PODO","Scel"
0,3.64634752992993,0.345,0.03,0,"PODO","Amph"
0,0.580292039150288,0.398,0.084,0,"PODO","Srgap3"
0,3.56650094538195,0.356,0.044,0,"PODO","Svep1"
