ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0042326,negative regulation of phosphorylation,78/2291,337/23189,0.231454005934718,2.34272673226546,8.22114496198928,5.78575291221983e-13,3.50732341538766e-09,2.71991289536566e-09,ENSMUSG00000000708/ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000003873/ENSMUSG00000004951/ENSMUSG00000005534/ENSMUSG00000005718/ENSMUSG00000006134/ENSMUSG00000006369/ENSMUSG00000009073/ENSMUSG00000010057/ENSMUSG00000011096/ENSMUSG00000013663/ENSMUSG00000014077/ENSMUSG00000015133/ENSMUSG00000015202/ENSMUSG00000017969/ENSMUSG00000018899/ENSMUSG00000019823/ENSMUSG00000020176/ENSMUSG00000020262/ENSMUSG00000020372/ENSMUSG00000020530/ENSMUSG00000020716/ENSMUSG00000020859/ENSMUSG00000021699/ENSMUSG00000021738/ENSMUSG00000021892/ENSMUSG00000021959/ENSMUSG00000022033/ENSMUSG00000022178/ENSMUSG00000024122/ENSMUSG00000024503/ENSMUSG00000024947/ENSMUSG00000025371/ENSMUSG00000025453/ENSMUSG00000025880/ENSMUSG00000026176/ENSMUSG00000026181/ENSMUSG00000026626/ENSMUSG00000026883/ENSMUSG00000027001/ENSMUSG00000027006/ENSMUSG00000027177/ENSMUSG00000027803/ENSMUSG00000027843/ENSMUSG00000028664/ENSMUSG00000029053/ENSMUSG00000029390/ENSMUSG00000029859/ENSMUSG00000030201/ENSMUSG00000030867/ENSMUSG00000031548/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032604/ENSMUSG00000034573/ENSMUSG00000035112/ENSMUSG00000035941/ENSMUSG00000037049/ENSMUSG00000037526/ENSMUSG00000038037/ENSMUSG00000041431/ENSMUSG00000041459/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000045671/ENSMUSG00000045983/ENSMUSG00000047409/ENSMUSG00000048379/ENSMUSG00000050965/ENSMUSG00000051316/ENSMUSG00000054793/ENSMUSG00000057113/ENSMUSG00000057672/ENSMUSG00000060216/ENSMUSG00000060803,78
GO:0031400,negative regulation of protein modification process,89/2291,420/23189,0.211904761904762,2.14485356779115,7.83960960941413,2.76387317348533e-12,7.10724956736882e-09,5.51163877960533e-09,ENSMUSG00000000708/ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000003873/ENSMUSG00000004951/ENSMUSG00000005534/ENSMUSG00000005718/ENSMUSG00000006134/ENSMUSG00000006369/ENSMUSG00000009073/ENSMUSG00000011096/ENSMUSG00000013663/ENSMUSG00000014077/ENSMUSG00000015133/ENSMUSG00000015202/ENSMUSG00000017969/ENSMUSG00000018899/ENSMUSG00000019823/ENSMUSG00000019843/ENSMUSG00000020232/ENSMUSG00000020262/ENSMUSG00000020372/ENSMUSG00000020530/ENSMUSG00000020716/ENSMUSG00000020859/ENSMUSG00000021501/ENSMUSG00000021699/ENSMUSG00000021892/ENSMUSG00000021959/ENSMUSG00000022033/ENSMUSG00000024122/ENSMUSG00000024503/ENSMUSG00000024947/ENSMUSG00000025371/ENSMUSG00000025453/ENSMUSG00000025880/ENSMUSG00000026176/ENSMUSG00000026181/ENSMUSG00000026385/ENSMUSG00000026883/ENSMUSG00000027001/ENSMUSG00000027006/ENSMUSG00000027177/ENSMUSG00000027189/ENSMUSG00000027803/ENSMUSG00000027843/ENSMUSG00000028664/ENSMUSG00000029053/ENSMUSG00000029390/ENSMUSG00000029859/ENSMUSG00000030087/ENSMUSG00000030201/ENSMUSG00000030744/ENSMUSG00000030867/ENSMUSG00000031548/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032604/ENSMUSG00000032633/ENSMUSG00000033788/ENSMUSG00000034573/ENSMUSG00000035112/ENSMUSG00000035941/ENSMUSG00000036473/ENSMUSG00000037049/ENSMUSG00000037526/ENSMUSG00000038037/ENSMUSG00000038160/ENSMUSG00000041431/ENSMUSG00000041459/ENSMUSG00000042215/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000045671/ENSMUSG00000045983/ENSMUSG00000047409/ENSMUSG00000048379/ENSMUSG00000048787/ENSMUSG00000049502/ENSMUSG00000050697/ENSMUSG00000050965/ENSMUSG00000051316/ENSMUSG00000054793/ENSMUSG00000057113/ENSMUSG00000057672/ENSMUSG00000058558/ENSMUSG00000060216/ENSMUSG00000060803,89
GO:0001933,negative regulation of protein phosphorylation,73/2291,316/23189,0.231012658227848,2.33825950748388,7.9307478435709,3.51727956154841e-12,7.10724956736882e-09,5.51163877960533e-09,ENSMUSG00000000708/ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000003873/ENSMUSG00000004951/ENSMUSG00000005534/ENSMUSG00000005718/ENSMUSG00000006134/ENSMUSG00000006369/ENSMUSG00000009073/ENSMUSG00000011096/ENSMUSG00000013663/ENSMUSG00000014077/ENSMUSG00000015133/ENSMUSG00000015202/ENSMUSG00000017969/ENSMUSG00000018899/ENSMUSG00000019823/ENSMUSG00000020262/ENSMUSG00000020372/ENSMUSG00000020530/ENSMUSG00000020716/ENSMUSG00000020859/ENSMUSG00000021699/ENSMUSG00000021892/ENSMUSG00000021959/ENSMUSG00000022033/ENSMUSG00000024122/ENSMUSG00000024503/ENSMUSG00000024947/ENSMUSG00000025371/ENSMUSG00000025453/ENSMUSG00000025880/ENSMUSG00000026176/ENSMUSG00000026181/ENSMUSG00000026883/ENSMUSG00000027001/ENSMUSG00000027006/ENSMUSG00000027177/ENSMUSG00000027803/ENSMUSG00000027843/ENSMUSG00000028664/ENSMUSG00000029053/ENSMUSG00000029390/ENSMUSG00000029859/ENSMUSG00000030201/ENSMUSG00000030867/ENSMUSG00000031548/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032604/ENSMUSG00000034573/ENSMUSG00000035112/ENSMUSG00000035941/ENSMUSG00000037049/ENSMUSG00000037526/ENSMUSG00000038037/ENSMUSG00000041431/ENSMUSG00000041459/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000045671/ENSMUSG00000045983/ENSMUSG00000047409/ENSMUSG00000048379/ENSMUSG00000050965/ENSMUSG00000051316/ENSMUSG00000054793/ENSMUSG00000057113/ENSMUSG00000057672/ENSMUSG00000060216/ENSMUSG00000060803,73
GO:0010563,negative regulation of phosphorus metabolic process,83/2291,388/23189,0.213917525773196,2.16522632263406,7.66374472785462,8.99453415164699e-12,1.09049732054568e-08,8.45675568868536e-09,ENSMUSG00000000708/ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000003873/ENSMUSG00000004951/ENSMUSG00000005534/ENSMUSG00000005718/ENSMUSG00000006134/ENSMUSG00000006369/ENSMUSG00000009073/ENSMUSG00000010057/ENSMUSG00000011096/ENSMUSG00000013663/ENSMUSG00000014077/ENSMUSG00000015133/ENSMUSG00000015202/ENSMUSG00000017969/ENSMUSG00000018899/ENSMUSG00000019823/ENSMUSG00000020176/ENSMUSG00000020262/ENSMUSG00000020372/ENSMUSG00000020530/ENSMUSG00000020716/ENSMUSG00000020859/ENSMUSG00000021699/ENSMUSG00000021738/ENSMUSG00000021892/ENSMUSG00000021959/ENSMUSG00000022033/ENSMUSG00000022178/ENSMUSG00000024122/ENSMUSG00000024503/ENSMUSG00000024947/ENSMUSG00000025371/ENSMUSG00000025453/ENSMUSG00000025856/ENSMUSG00000025880/ENSMUSG00000026176/ENSMUSG00000026181/ENSMUSG00000026626/ENSMUSG00000026883/ENSMUSG00000026944/ENSMUSG00000027001/ENSMUSG00000027006/ENSMUSG00000027177/ENSMUSG00000027803/ENSMUSG00000027843/ENSMUSG00000028307/ENSMUSG00000028664/ENSMUSG00000029053/ENSMUSG00000029390/ENSMUSG00000029859/ENSMUSG00000030201/ENSMUSG00000030867/ENSMUSG00000031548/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032604/ENSMUSG00000032633/ENSMUSG00000034573/ENSMUSG00000035112/ENSMUSG00000035941/ENSMUSG00000037049/ENSMUSG00000037316/ENSMUSG00000037526/ENSMUSG00000038037/ENSMUSG00000041431/ENSMUSG00000041459/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000045671/ENSMUSG00000045983/ENSMUSG00000047409/ENSMUSG00000048379/ENSMUSG00000050965/ENSMUSG00000051316/ENSMUSG00000054793/ENSMUSG00000057113/ENSMUSG00000057672/ENSMUSG00000060216/ENSMUSG00000060803,83
GO:0045936,negative regulation of phosphate metabolic process,83/2291,388/23189,0.213917525773196,2.16522632263406,7.66374472785462,8.99453415164699e-12,1.09049732054568e-08,8.45675568868536e-09,ENSMUSG00000000708/ENSMUSG00000001729/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000003873/ENSMUSG00000004951/ENSMUSG00000005534/ENSMUSG00000005718/ENSMUSG00000006134/ENSMUSG00000006369/ENSMUSG00000009073/ENSMUSG00000010057/ENSMUSG00000011096/ENSMUSG00000013663/ENSMUSG00000014077/ENSMUSG00000015133/ENSMUSG00000015202/ENSMUSG00000017969/ENSMUSG00000018899/ENSMUSG00000019823/ENSMUSG00000020176/ENSMUSG00000020262/ENSMUSG00000020372/ENSMUSG00000020530/ENSMUSG00000020716/ENSMUSG00000020859/ENSMUSG00000021699/ENSMUSG00000021738/ENSMUSG00000021892/ENSMUSG00000021959/ENSMUSG00000022033/ENSMUSG00000022178/ENSMUSG00000024122/ENSMUSG00000024503/ENSMUSG00000024947/ENSMUSG00000025371/ENSMUSG00000025453/ENSMUSG00000025856/ENSMUSG00000025880/ENSMUSG00000026176/ENSMUSG00000026181/ENSMUSG00000026626/ENSMUSG00000026883/ENSMUSG00000026944/ENSMUSG00000027001/ENSMUSG00000027006/ENSMUSG00000027177/ENSMUSG00000027803/ENSMUSG00000027843/ENSMUSG00000028307/ENSMUSG00000028664/ENSMUSG00000029053/ENSMUSG00000029390/ENSMUSG00000029859/ENSMUSG00000030201/ENSMUSG00000030867/ENSMUSG00000031548/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032604/ENSMUSG00000032633/ENSMUSG00000034573/ENSMUSG00000035112/ENSMUSG00000035941/ENSMUSG00000037049/ENSMUSG00000037316/ENSMUSG00000037526/ENSMUSG00000038037/ENSMUSG00000041431/ENSMUSG00000041459/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000045671/ENSMUSG00000045983/ENSMUSG00000047409/ENSMUSG00000048379/ENSMUSG00000050965/ENSMUSG00000051316/ENSMUSG00000054793/ENSMUSG00000057113/ENSMUSG00000057672/ENSMUSG00000060216/ENSMUSG00000060803,83
GO:0045859,regulation of protein kinase activity,95/2291,488/23189,0.194672131147541,1.97042865525113,7.17369415253807,7.81117232139475e-11,7.55271350896373e-08,5.85709398166873e-08,ENSMUSG00000000296/ENSMUSG00000000708/ENSMUSG00000000787/ENSMUSG00000001729/ENSMUSG00000002058/ENSMUSG00000003518/ENSMUSG00000004054/ENSMUSG00000004951/ENSMUSG00000005534/ENSMUSG00000005718/ENSMUSG00000007815/ENSMUSG00000008734/ENSMUSG00000009073/ENSMUSG00000011096/ENSMUSG00000013663/ENSMUSG00000014077/ENSMUSG00000018381/ENSMUSG00000020122/ENSMUSG00000020262/ENSMUSG00000020495/ENSMUSG00000020530/ENSMUSG00000020541/ENSMUSG00000020623/ENSMUSG00000020715/ENSMUSG00000020716/ENSMUSG00000021022/ENSMUSG00000021892/ENSMUSG00000021959/ENSMUSG00000021994/ENSMUSG00000022178/ENSMUSG00000022221/ENSMUSG00000022788/ENSMUSG00000023274/ENSMUSG00000024013/ENSMUSG00000024122/ENSMUSG00000024182/ENSMUSG00000024286/ENSMUSG00000024924/ENSMUSG00000024947/ENSMUSG00000025371/ENSMUSG00000025856/ENSMUSG00000026027/ENSMUSG00000026181/ENSMUSG00000026235/ENSMUSG00000026556/ENSMUSG00000026872/ENSMUSG00000026883/ENSMUSG00000027001/ENSMUSG00000027164/ENSMUSG00000027177/ENSMUSG00000027330/ENSMUSG00000027803/ENSMUSG00000027843/ENSMUSG00000027937/ENSMUSG00000028017/ENSMUSG00000028664/ENSMUSG00000029166/ENSMUSG00000029648/ENSMUSG00000029859/ENSMUSG00000030201/ENSMUSG00000030272/ENSMUSG00000030742/ENSMUSG00000030744/ENSMUSG00000030867/ENSMUSG00000031357/ENSMUSG00000031548/ENSMUSG00000031555/ENSMUSG00000031628/ENSMUSG00000032011/ENSMUSG00000032604/ENSMUSG00000033159/ENSMUSG00000033170/ENSMUSG00000033307/ENSMUSG00000033417/ENSMUSG00000033618/ENSMUSG00000035112/ENSMUSG00000037049/ENSMUSG00000038412/ENSMUSG00000040936/ENSMUSG00000042228/ENSMUSG00000044303/ENSMUSG00000044827/ENSMUSG00000045875/ENSMUSG00000048379/ENSMUSG00000050315/ENSMUSG00000050965/ENSMUSG00000051316/ENSMUSG00000055320/ENSMUSG00000057113/ENSMUSG00000057672/ENSMUSG00000058835/ENSMUSG00000060216/ENSMUSG00000060803/ENSMUSG00000062232/ENSMUSG00000070348,95
GO:0034976,response to endoplasmic reticulum stress,64/2291,278/23189,0.23021582733813,2.33019415981837,7.38766578769642,8.72137818587036e-11,7.55271350896373e-08,5.85709398166873e-08,ENSMUSG00000000275/ENSMUSG00000000787/ENSMUSG00000003873/ENSMUSG00000004270/ENSMUSG00000004446/ENSMUSG00000005312/ENSMUSG00000006676/ENSMUSG00000010517/ENSMUSG00000014905/ENSMUSG00000016552/ENSMUSG00000018442/ENSMUSG00000019539/ENSMUSG00000019979/ENSMUSG00000020109/ENSMUSG00000020448/ENSMUSG00000020521/ENSMUSG00000020571/ENSMUSG00000020715/ENSMUSG00000020788/ENSMUSG00000020964/ENSMUSG00000021669/ENSMUSG00000021708/ENSMUSG00000021831/ENSMUSG00000022564/ENSMUSG00000022769/ENSMUSG00000024392/ENSMUSG00000024521/ENSMUSG00000025130/ENSMUSG00000025887/ENSMUSG00000025917/ENSMUSG00000026199/ENSMUSG00000026353/ENSMUSG00000026663/ENSMUSG00000026883/ENSMUSG00000027006/ENSMUSG00000027810/ENSMUSG00000028277/ENSMUSG00000028466/ENSMUSG00000029390/ENSMUSG00000030102/ENSMUSG00000030247/ENSMUSG00000031628/ENSMUSG00000031751/ENSMUSG00000032437/ENSMUSG00000033773/ENSMUSG00000037075/ENSMUSG00000040462/ENSMUSG00000041459/ENSMUSG00000041765/ENSMUSG00000042406/ENSMUSG00000042632/ENSMUSG00000043019/ENSMUSG00000045983/ENSMUSG00000049470/ENSMUSG00000050812/ENSMUSG00000052384/ENSMUSG00000054455/ENSMUSG00000059890/ENSMUSG00000069662/ENSMUSG00000070348/ENSMUSG00000074093/ENSMUSG00000075000/ENSMUSG00000075701/ENSMUSG00000098332,64
GO:0006119,oxidative phosphorylation,43/2291,154/23189,0.279220779220779,2.82621154489334,7.52851229700656,1.90594676545007e-10,1.286826416267e-07,9.97927863836567e-08,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022551/ENSMUSG00000024208/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000031059/ENSMUSG00000031818/ENSMUSG00000032330/ENSMUSG00000035885/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000041431/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000070493/ENSMUSG00000071014/ENSMUSG00000074218,43
GO:0045333,cellular respiration,62/2291,270/23189,0.22962962962963,2.32426079505957,7.24685212893877,1.91049781365935e-10,1.286826416267e-07,9.97927863836567e-08,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000001729/ENSMUSG00000003873/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020085/ENSMUSG00000020128/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000020268/ENSMUSG00000020456/ENSMUSG00000020594/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022477/ENSMUSG00000022551/ENSMUSG00000023019/ENSMUSG00000024208/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000025950/ENSMUSG00000026032/ENSMUSG00000026525/ENSMUSG00000027673/ENSMUSG00000030249/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000031902/ENSMUSG00000032122/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000034203/ENSMUSG00000035885/ENSMUSG00000037710/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000041431/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000070493/ENSMUSG00000071014/ENSMUSG00000074218,62
GO:0022604,regulation of cell morphogenesis,63/2291,284/23189,0.221830985915493,2.24532463221055,6.99146887231764,6.12665933543215e-10,3.71398088913897e-07,2.88017479916211e-07,ENSMUSG00000001833/ENSMUSG00000003283/ENSMUSG00000004462/ENSMUSG00000009073/ENSMUSG00000013663/ENSMUSG00000015745/ENSMUSG00000018395/ENSMUSG00000019843/ENSMUSG00000020132/ENSMUSG00000020476/ENSMUSG00000020640/ENSMUSG00000020859/ENSMUSG00000020953/ENSMUSG00000021224/ENSMUSG00000021994/ENSMUSG00000022425/ENSMUSG00000022443/ENSMUSG00000022788/ENSMUSG00000023008/ENSMUSG00000023025/ENSMUSG00000023328/ENSMUSG00000025132/ENSMUSG00000025372/ENSMUSG00000025609/ENSMUSG00000025885/ENSMUSG00000026235/ENSMUSG00000026933/ENSMUSG00000026965/ENSMUSG00000028399/ENSMUSG00000028664/ENSMUSG00000030084/ENSMUSG00000030707/ENSMUSG00000030770/ENSMUSG00000031012/ENSMUSG00000031393/ENSMUSG00000031523/ENSMUSG00000032050/ENSMUSG00000032702/ENSMUSG00000032812/ENSMUSG00000033377/ENSMUSG00000033618/ENSMUSG00000034675/ENSMUSG00000036473/ENSMUSG00000036606/ENSMUSG00000039086/ENSMUSG00000039361/ENSMUSG00000039629/ENSMUSG00000040990/ENSMUSG00000042589/ENSMUSG00000043207/ENSMUSG00000048486/ENSMUSG00000049521/ENSMUSG00000052298/ENSMUSG00000053158/ENSMUSG00000053646/ENSMUSG00000056201/ENSMUSG00000059981/ENSMUSG00000062960/ENSMUSG00000063382/ENSMUSG00000063838/ENSMUSG00000069662/ENSMUSG00000073412/ENSMUSG00000074746,63
GO:0009060,aerobic respiration,50/2291,206/23189,0.242718446601942,2.45674293245414,6.95352466389969,1.45776281741311e-09,7.79082684234403e-07,6.04174975740305e-07,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000001729/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000020456/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022477/ENSMUSG00000022551/ENSMUSG00000024208/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000025950/ENSMUSG00000026032/ENSMUSG00000027673/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000035885/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000041431/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000070493/ENSMUSG00000071014/ENSMUSG00000074218,50
GO:0015980,energy derivation by oxidation of organic compounds,76/2291,379/23189,0.200527704485488,2.02969748551462,6.69203868091133,1.54222900211363e-09,7.79082684234403e-07,6.04174975740305e-07,ENSMUSG00000000088/ENSMUSG00000000171/ENSMUSG00000000326/ENSMUSG00000001729/ENSMUSG00000001891/ENSMUSG00000002769/ENSMUSG00000003873/ENSMUSG00000004056/ENSMUSG00000004446/ENSMUSG00000005510/ENSMUSG00000005534/ENSMUSG00000007815/ENSMUSG00000009112/ENSMUSG00000013593/ENSMUSG00000014294/ENSMUSG00000017778/ENSMUSG00000020022/ENSMUSG00000020085/ENSMUSG00000020128/ENSMUSG00000020153/ENSMUSG00000020163/ENSMUSG00000020176/ENSMUSG00000020268/ENSMUSG00000020456/ENSMUSG00000020594/ENSMUSG00000021520/ENSMUSG00000021606/ENSMUSG00000021756/ENSMUSG00000022354/ENSMUSG00000022450/ENSMUSG00000022477/ENSMUSG00000022551/ENSMUSG00000023019/ENSMUSG00000024208/ENSMUSG00000025393/ENSMUSG00000025428/ENSMUSG00000025781/ENSMUSG00000025825/ENSMUSG00000025907/ENSMUSG00000025950/ENSMUSG00000026032/ENSMUSG00000026525/ENSMUSG00000027673/ENSMUSG00000028630/ENSMUSG00000029578/ENSMUSG00000030249/ENSMUSG00000030541/ENSMUSG00000031059/ENSMUSG00000031299/ENSMUSG00000031818/ENSMUSG00000031902/ENSMUSG00000032122/ENSMUSG00000032293/ENSMUSG00000032330/ENSMUSG00000032905/ENSMUSG00000034203/ENSMUSG00000035885/ENSMUSG00000037710/ENSMUSG00000037916/ENSMUSG00000038690/ENSMUSG00000039065/ENSMUSG00000039428/ENSMUSG00000040385/ENSMUSG00000041431/ENSMUSG00000045973/ENSMUSG00000049422/ENSMUSG00000059534/ENSMUSG00000061118/ENSMUSG00000064358/ENSMUSG00000064370/ENSMUSG00000065947/ENSMUSG00000066551/ENSMUSG00000070493/ENSMUSG00000071014/ENSMUSG00000074218/ENSMUSG00000078650,76
GO:2000146,negative regulation of cell motility,70/2291,341/23189,0.205278592375367,2.07778493172954,6.63860807709437,2.42994542546071e-09,1.13310224378022e-06,8.78715487458099e-07,ENSMUSG00000001729/ENSMUSG00000002413/ENSMUSG00000002603/ENSMUSG00000003518/ENSMUSG00000004665/ENSMUSG00000006369/ENSMUSG00000007815/ENSMUSG00000013663/ENSMUSG00000015714/ENSMUSG00000019278/ENSMUSG00000020262/ENSMUSG00000020453/ENSMUSG00000020519/ENSMUSG00000020716/ENSMUSG00000021139/ENSMUSG00000021262/ENSMUSG00000022443/ENSMUSG00000024397/ENSMUSG00000024610/ENSMUSG00000025132/ENSMUSG00000025351/ENSMUSG00000026043/ENSMUSG00000026222/ENSMUSG00000026235/ENSMUSG00000026457/ENSMUSG00000026725/ENSMUSG00000026872/ENSMUSG00000026883/ENSMUSG00000026921/ENSMUSG00000028041/ENSMUSG00000028309/ENSMUSG00000028927/ENSMUSG00000029163/ENSMUSG00000029684/ENSMUSG00000029859/ENSMUSG00000030022/ENSMUSG00000030168/ENSMUSG00000030220/ENSMUSG00000030541/ENSMUSG00000031112/ENSMUSG00000031389/ENSMUSG00000031393/ENSMUSG00000031523/ENSMUSG00000031548/ENSMUSG00000031673/ENSMUSG00000031785/ENSMUSG00000032011/ENSMUSG00000032702/ENSMUSG00000033149/ENSMUSG00000033170/ENSMUSG00000033237/ENSMUSG00000033307/ENSMUSG00000035158/ENSMUSG00000036667/ENSMUSG00000037242/ENSMUSG00000037815/ENSMUSG00000039671/ENSMUSG00000039985/ENSMUSG00000040249/ENSMUSG00000051615/ENSMUSG00000052336/ENSMUSG00000053475/ENSMUSG00000055639/ENSMUSG00000056050/ENSMUSG00000056201/ENSMUSG00000060803/ENSMUSG00000063049/ENSMUSG00000063410/ENSMUSG00000066551/ENSMUSG00000074227,70
GO:0044772,mitotic cell cycle phase transition,86/2291,455/23189,0.189010989010989,1.91312781500472,6.51315135600216,2.74031477276009e-09,1.18655629660512e-06,9.20168855274176e-07,ENSMUSG00000000296/ENSMUSG00000000787/ENSMUSG00000001517/ENSMUSG00000001729/ENSMUSG00000002068/ENSMUSG00000002297/ENSMUSG00000002603/ENSMUSG00000004364/ENSMUSG00000004446/ENSMUSG00000005718/ENSMUSG00000007646/ENSMUSG00000010051/ENSMUSG00000013663/ENSMUSG00000020122/ENSMUSG00000020380/ENSMUSG00000020897/ENSMUSG00000021569/ENSMUSG00000021611/ENSMUSG00000021959/ENSMUSG00000022216/ENSMUSG00000022292/ENSMUSG00000022750/ENSMUSG00000022893/ENSMUSG00000023883/ENSMUSG00000024002/ENSMUSG00000024283/ENSMUSG00000024286/ENSMUSG00000024397/ENSMUSG00000024590/ENSMUSG00000024660/ENSMUSG00000024947/ENSMUSG00000025764/ENSMUSG00000026176/ENSMUSG00000026361/ENSMUSG00000026605/ENSMUSG00000026683/ENSMUSG00000026753/ENSMUSG00000026778/ENSMUSG00000026965/ENSMUSG00000027330/ENSMUSG00000027641/ENSMUSG00000027998/ENSMUSG00000028044/ENSMUSG00000028156/ENSMUSG00000028873/ENSMUSG00000028970/ENSMUSG00000029004/ENSMUSG00000029176/ENSMUSG00000029283/ENSMUSG00000029414/ENSMUSG00000029681/ENSMUSG00000030867/ENSMUSG00000031201/ENSMUSG00000031446/ENSMUSG00000031913/ENSMUSG00000032050/ENSMUSG00000032405/ENSMUSG00000032409/ENSMUSG00000032555/ENSMUSG00000033237/ENSMUSG00000033417/ENSMUSG00000034462/ENSMUSG00000034917/ENSMUSG00000036438/ENSMUSG00000037313/ENSMUSG00000038544/ENSMUSG00000040760/ENSMUSG00000041238/ENSMUSG00000041431/ENSMUSG00000042506/ENSMUSG00000044201/ENSMUSG00000044303/ENSMUSG00000045817/ENSMUSG00000045983/ENSMUSG00000047409/ENSMUSG00000048000/ENSMUSG00000048787/ENSMUSG00000049086/ENSMUSG00000052534/ENSMUSG00000054309/ENSMUSG00000059263/ENSMUSG00000059981/ENSMUSG00000062328/ENSMUSG00000063015/ENSMUSG00000070348/ENSMUSG00000079197,86
